vinedo_id,zona,timestamp,temp_aire,humedad_aire,presion_atm,punto_rocio,viento
Cuartel_Malbec_1,Maipu,2023-01-01T00:00:00,15.9,70.58,910.5,10.41,1.03
Cuartel_Malbec_1,Maipu,2023-01-01T01:00:00,15.4,72.7,910.4,10.35,0.95
Cuartel_Malbec_1,Maipu,2023-01-01T02:00:00,14.87,74.3,910.6,10.13,0.64
Cuartel_Malbec_1,Maipu,2023-01-01T03:00:00,14.76,73.22,911.0,9.69,0.36
Cuartel_Malbec_1,Maipu,2023-01-01T04:00:00,15.15,68.66,911.5,8.93,0.17
Cuartel_Malbec_1,Maipu,2023-01-01T05:00:00,17.62,54.86,911.7,7.84,0.53
Cuartel_Malbec_1,Maipu,2023-01-01T06:00:00,20.92,39.34,912.0,5.91,1.65
Cuartel_Malbec_1,Maipu,2023-01-01T07:00:00,23.58,31.71,911.9,5.21,2.89
Cuartel_Malbec_1,Maipu,2023-01-01T08:00:00,25.84,26.47,911.5,4.72,3.66
Cuartel_Malbec_1,Maipu,2023-01-01T09:00:00,27.84,22.54,910.9,4.31,4.23
Cuartel_Malbec_1,Maipu,2023-01-01T10:00:00,29.47,19.86,910.2,3.96,4.61
Cuartel_Malbec_1,Maipu,2023-01-01T11:00:00,30.57,18.3,909.5,3.78,4.96
Cuartel_Malbec_1,Maipu,2023-01-01T12:00:00,31.24,17.38,909.0,3.62,5.3
Cuartel_Malbec_1,Maipu,2023-01-01T13:00:00,31.35,17.21,908.7,3.57,5.45
Cuartel_Malbec_1,Maipu,2023-01-01T14:00:00,30.91,17.71,908.9,3.63,5.22
Cuartel_Malbec_1,Maipu,2023-01-01T15:00:00,30.09,18.67,909.3,3.71,4.82
Cuartel_Malbec_1,Maipu,2023-01-01T16:00:00,28.99,19.83,909.7,3.68,4.43
Cuartel_Malbec_1,Maipu,2023-01-01T17:00:00,27.5,21.64,910.3,3.67,3.99
Cuartel_Malbec_1,Maipu,2023-01-01T18:00:00,24.55,26.87,911.2,4.28,2.54
Cuartel_Malbec_1,Maipu,2023-01-01T19:00:00,22.2,31.48,912.0,4.51,1.98
Cuartel_Malbec_1,Maipu,2023-01-01T20:00:00,20.7,34.84,912.8,4.66,1.56
Cuartel_Malbec_1,Maipu,2023-01-01T21:00:00,19.48,38.24,913.4,4.89,1.05
Cuartel_Malbec_1,Maipu,2023-01-01T22:00:00,18.78,40.36,913.6,5.04,0.74
Cuartel_Malbec_1,Maipu,2023-01-01T23:00:00,18.74,40.38,913.2,5.01,0.59
Cuartel_Malbec_1,Maipu,2023-01-02T00:00:00,18.11,41.83,912.5,4.94,0.62
