vinedo_id,timestamp,temp_aire,humedad_aire,presion_atm,punto_rocio
Cuartel_Malbec_1,2026-04-20T00:00:00,9.47,79.28,912.5,6.03
Cuartel_Malbec_1,2026-04-20T01:00:00,9.04,80.68,912.0,5.85
Cuartel_Malbec_1,2026-04-20T02:00:00,8.64,81.55,911.5,5.61
Cuartel_Malbec_1,2026-04-20T03:00:00,8.56,80.54,911.4,5.34
Cuartel_Malbec_1,2026-04-20T04:00:00,8.43,79.06,911.9,4.95
Cuartel_Malbec_1,2026-04-20T05:00:00,8.26,77.78,912.7,4.55
Cuartel_Malbec_1,2026-04-20T06:00:00,8.28,75.77,913.8,4.22
Cuartel_Malbec_1,2026-04-20T07:00:00,9.38,69.79,914.8,4.11
Cuartel_Malbec_1,2026-04-20T08:00:00,10.77,64.86,915.2,4.35
Cuartel_Malbec_1,2026-04-20T09:00:00,12.08,60.69,914.8,4.62
Cuartel_Malbec_1,2026-04-20T10:00:00,13.53,56.39,914.5,4.95
Cuartel_Malbec_1,2026-04-20T11:00:00,14.67,53.56,913.8,5.27
Cuartel_Malbec_1,2026-04-20T12:00:00,15.44,51.59,913.1,5.47
Cuartel_Malbec_1,2026-04-20T13:00:00,15.59,51.22,912.5,5.5
Cuartel_Malbec_1,2026-04-20T14:00:00,15.09,52.72,912.4,5.47
Cuartel_Malbec_1,2026-04-20T15:00:00,13.94,56.72,912.8,5.44
Cuartel_Malbec_1,2026-04-20T16:00:00,12.19,63.64,913.4,5.48
Cuartel_Malbec_1,2026-04-20T17:00:00,10.28,73.12,914.2,5.65
Cuartel_Malbec_1,2026-04-20T18:00:00,9.26,78.39,915.1,5.66
Cuartel_Malbec_1,2026-04-20T19:00:00,8.63,80.81,915.8,5.5
Cuartel_Malbec_1,2026-04-20T20:00:00,8.06,83.23,916.3,5.38
Cuartel_Malbec_1,2026-04-20T21:00:00,7.41,86.47,916.7,5.29
Cuartel_Malbec_1,2026-04-20T22:00:00,6.72,90.08,916.8,5.18
Cuartel_Malbec_1,2026-04-20T23:00:00,6.23,92.25,916.7,5.04
Cuartel_Malbec_1,2026-04-21T00:00:00,5.93,93.54,916.6,4.92
Cuartel_Malbec_1,2026-04-21T01:00:00,5.96,93.15,916.2,4.89
Cuartel_Malbec_1,2026-04-21T02:00:00,6.08,92.66,915.9,4.9
Cuartel_Malbec_1,2026-04-21T03:00:00,6.18,92.17,915.9,4.92
Cuartel_Malbec_1,2026-04-21T04:00:00,6.33,91.7,916.1,4.98
Cuartel_Malbec_1,2026-04-21T05:00:00,6.62,90.97,916.5,5.11
Cuartel_Malbec_1,2026-04-21T06:00:00,6.98,89.96,916.9,5.32
Cuartel_Malbec_1,2026-04-21T07:00:00,8.16,84.38,917.3,5.59
Cuartel_Malbec_1,2026-04-21T08:00:00,9.9,75.03,917.4,5.58
Cuartel_Malbec_1,2026-04-21T09:00:00,12.63,61.87,917.0,5.38
Cuartel_Malbec_1,2026-04-21T10:00:00,15.24,51.07,916.0,5.12
Cuartel_Malbec_1,2026-04-21T11:00:00,17.12,44.65,915.0,4.95
Cuartel_Malbec_1,2026-04-21T12:00:00,18.39,40.48,914.0,4.7
Cuartel_Malbec_1,2026-04-21T13:00:00,19.14,37.87,913.1,4.43
Cuartel_Malbec_1,2026-04-21T14:00:00,19.28,36.99,912.6,4.23
Cuartel_Malbec_1,2026-04-21T15:00:00,18.67,38.29,912.5,4.19
Cuartel_Malbec_1,2026-04-21T16:00:00,16.83,43.77,912.7,4.45
Cuartel_Malbec_1,2026-04-21T17:00:00,13.6,55.03,913.3,4.75
Cuartel_Malbec_1,2026-04-21T18:00:00,12.57,58.6,913.9,4.67
Cuartel_Malbec_1,2026-04-21T19:00:00,12.07,59.85,914.2,4.5
Cuartel_Malbec_1,2026-04-21T20:00:00,11.65,61.11,914.2,4.4
Cuartel_Malbec_1,2026-04-21T21:00:00,11.04,63.62,914.0,4.39
Cuartel_Malbec_1,2026-04-21T22:00:00,10.42,66.4,913.6,4.37
Cuartel_Malbec_1,2026-04-21T23:00:00,9.78,69.39,913.2,4.36
Cuartel_Malbec_1,2026-04-22T00:00:00,9.12,72.52,912.9,4.34
Cuartel_Malbec_1,2026-04-22T01:00:00,8.58,74.92,912.5,4.24
Cuartel_Malbec_1,2026-04-22T02:00:00,8.06,76.91,912.2,4.05
Cuartel_Malbec_1,2026-04-22T03:00:00,7.65,78.13,912.3,3.84
Cuartel_Malbec_1,2026-04-22T04:00:00,7.22,79.64,912.8,3.6
Cuartel_Malbec_1,2026-04-22T05:00:00,6.93,79.7,913.5,3.23
Cuartel_Malbec_1,2026-04-22T06:00:00,7.96,73.24,914.2,2.94
Cuartel_Malbec_1,2026-04-22T07:00:00,11.82,57.95,914.9,3.48
Cuartel_Malbec_1,2026-04-22T08:00:00,15.4,45.5,915.2,2.94
Cuartel_Malbec_1,2026-04-22T09:00:00,18.41,38.0,915.3,3.27
Cuartel_Malbec_1,2026-04-22T10:00:00,20.53,33.85,915.3,3.76
Cuartel_Malbec_1,2026-04-22T11:00:00,21.85,31.94,915.0,4.23
Cuartel_Malbec_1,2026-04-22T12:00:00,22.5,30.95,914.7,4.44
Cuartel_Malbec_1,2026-04-22T13:00:00,22.6,30.44,914.6,4.35
Cuartel_Malbec_1,2026-04-22T14:00:00,22.17,30.76,914.7,4.13
Cuartel_Malbec_1,2026-04-22T15:00:00,21.18,32.28,914.9,3.98
Cuartel_Malbec_1,2026-04-22T16:00:00,18.67,40.44,915.3,4.93
Cuartel_Malbec_1,2026-04-22T17:00:00,14.94,53.52,915.9,5.58
Cuartel_Malbec_1,2026-04-22T18:00:00,13.96,57.89,916.5,5.8
Cuartel_Malbec_1,2026-04-22T19:00:00,13.24,61.18,917.0,5.91
Cuartel_Malbec_1,2026-04-22T20:00:00,12.63,63.28,917.2,5.82
Cuartel_Malbec_1,2026-04-22T21:00:00,12.12,64.61,917.1,5.59
Cuartel_Malbec_1,2026-04-22T22:00:00,11.68,65.44,916.9,5.31
Cuartel_Malbec_1,2026-04-22T23:00:00,11.24,66.25,916.5,4.99
Cuartel_Malbec_1,2026-04-23T00:00:00,10.82,66.74,916.1,4.61
Cuartel_Malbec_1,2026-04-23T01:00:00,10.42,67.11,915.5,4.17
Cuartel_Malbec_1,2026-04-23T02:00:00,9.91,68.2,915.0,3.74
Cuartel_Malbec_1,2026-04-23T03:00:00,9.48,69.56,914.6,3.49
Cuartel_Malbec_1,2026-04-23T04:00:00,9.23,70.74,914.6,3.47
Cuartel_Malbec_1,2026-04-23T05:00:00,9.16,70.83,914.7,3.36
Cuartel_Malbec_1,2026-04-23T06:00:00,9.95,67.43,915.0,3.36
Cuartel_Malbec_1,2026-04-23T07:00:00,12.83,58.39,915.3,4.26
Cuartel_Malbec_1,2026-04-23T08:00:00,16.39,49.45,915.3,5.0
Cuartel_Malbec_1,2026-04-23T09:00:00,19.78,41.77,914.8,5.76
Cuartel_Malbec_1,2026-04-23T10:00:00,21.69,37.16,914.0,5.96
Cuartel_Malbec_1,2026-04-23T11:00:00,23.05,34.43,913.1,6.23
Cuartel_Malbec_1,2026-04-23T12:00:00,23.91,32.95,912.2,6.46
Cuartel_Malbec_1,2026-04-23T13:00:00,24.26,32.43,911.4,6.59
Cuartel_Malbec_1,2026-04-23T14:00:00,24.03,33.31,911.2,6.78
Cuartel_Malbec_1,2026-04-23T15:00:00,23.07,36.07,911.3,7.13
Cuartel_Malbec_1,2026-04-23T16:00:00,20.56,44.83,911.8,8.1
Cuartel_Malbec_1,2026-04-23T17:00:00,16.86,59.2,912.5,8.83
Cuartel_Malbec_1,2026-04-23T18:00:00,16.05,63.5,913.2,9.11
Cuartel_Malbec_1,2026-04-23T19:00:00,15.1,67.52,913.6,9.07
Cuartel_Malbec_1,2026-04-23T20:00:00,14.23,70.17,913.7,8.68
Cuartel_Malbec_1,2026-04-23T21:00:00,13.66,71.24,913.7,8.1
Cuartel_Malbec_1,2026-04-23T22:00:00,13.11,72.28,913.5,7.5
Cuartel_Malbec_1,2026-04-23T23:00:00,12.52,73.1,913.2,6.78
Cuartel_Malbec_1,2026-04-24T00:00:00,12.15,72.61,912.8,5.98
Cuartel_Malbec_1,2026-04-24T01:00:00,11.84,72.39,912.4,5.42
Cuartel_Malbec_1,2026-04-24T02:00:00,11.26,74.21,911.9,5.05
Cuartel_Malbec_1,2026-04-24T03:00:00,10.62,76.52,911.8,4.71
Cuartel_Malbec_1,2026-04-24T04:00:00,10.43,77.06,912.0,4.46
Cuartel_Malbec_1,2026-04-24T05:00:00,10.47,76.54,912.5,4.33
Cuartel_Malbec_1,2026-04-24T06:00:00,10.89,74.36,913.0,4.48
Cuartel_Malbec_1,2026-04-24T07:00:00,13.95,64.22,913.4,6.15
Cuartel_Malbec_1,2026-04-24T08:00:00,17.75,51.29,913.4,5.64
Cuartel_Malbec_1,2026-04-24T09:00:00,21.12,42.61,912.9,6.55
Cuartel_Malbec_1,2026-04-24T10:00:00,23.01,37.53,912.2,7.01
Cuartel_Malbec_1,2026-04-24T11:00:00,24.28,34.31,911.5,7.18
Cuartel_Malbec_1,2026-04-24T12:00:00,25.14,31.92,910.6,7.09
Cuartel_Malbec_1,2026-04-24T13:00:00,25.39,30.99,910.0,6.96
Cuartel_Malbec_1,2026-04-24T14:00:00,24.92,31.68,910.0,6.92
Cuartel_Malbec_1,2026-04-24T15:00:00,23.71,34.43,910.5,7.09
Cuartel_Malbec_1,2026-04-24T16:00:00,21.35,41.77,911.4,7.83
Cuartel_Malbec_1,2026-04-24T17:00:00,18.2,52.31,912.5,8.28
Cuartel_Malbec_1,2026-04-24T18:00:00,16.75,55.71,913.5,7.85
Cuartel_Malbec_1,2026-04-24T19:00:00,15.7,55.38,914.3,6.73
Cuartel_Malbec_1,2026-04-24T20:00:00,14.94,52.87,915.0,5.3
Cuartel_Malbec_1,2026-04-24T21:00:00,14.01,53.15,915.3,4.58
Cuartel_Malbec_1,2026-04-24T22:00:00,13.0,55.21,915.4,4.22
Cuartel_Malbec_1,2026-04-24T23:00:00,12.25,56.56,915.3,3.89
Cuartel_Malbec_1,2026-04-25T00:00:00,11.47,57.48,915.0,3.39
Cuartel_Malbec_1,2026-04-25T01:00:00,10.6,58.6,914.8,2.81
Cuartel_Malbec_1,2026-04-25T02:00:00,9.56,61.34,914.6,2.43
Cuartel_Malbec_1,2026-04-25T03:00:00,8.78,63.11,914.7,2.01
Cuartel_Malbec_1,2026-04-25T04:00:00,8.22,64.65,915.2,1.71
Cuartel_Malbec_1,2026-04-25T05:00:00,7.73,66.74,915.7,1.59
Cuartel_Malbec_1,2026-04-25T06:00:00,8.1,65.65,916.0,1.65
Cuartel_Malbec_1,2026-04-25T07:00:00,10.75,57.43,916.3,2.43
Cuartel_Malbec_1,2026-04-25T08:00:00,14.06,45.37,916.0,2.18
Cuartel_Malbec_1,2026-04-25T09:00:00,16.84,36.7,915.3,1.7
Cuartel_Malbec_1,2026-04-25T10:00:00,18.71,32.26,914.6,1.56
Cuartel_Malbec_1,2026-04-25T11:00:00,20.08,29.4,913.5,1.45
Cuartel_Malbec_1,2026-04-25T12:00:00,21.11,27.03,912.1,1.19
Cuartel_Malbec_1,2026-04-25T13:00:00,21.55,25.77,911.0,0.95
Cuartel_Malbec_1,2026-04-25T14:00:00,21.29,25.82,910.6,0.85
Cuartel_Malbec_1,2026-04-25T15:00:00,20.35,27.18,910.7,0.77
Cuartel_Malbec_1,2026-04-25T16:00:00,17.77,33.94,910.9,1.62
Cuartel_Malbec_1,2026-04-25T17:00:00,14.31,43.87,911.3,2.11
Cuartel_Malbec_1,2026-04-25T18:00:00,13.22,46.74,911.8,1.97
Cuartel_Malbec_1,2026-04-25T19:00:00,11.99,49.85,912.0,1.66
Cuartel_Malbec_1,2026-04-25T20:00:00,11.02,52.27,912.1,1.28
